Name,Year,Month
George Washington,1790,January
George Washington,1790,December
George Washington,1791,October
George Washington,1792,November
George Washington,1793,December
George Washington,1794,November
George Washington,1795,December
George Washington,1796,December
John Adams,1797,November
John Adams,1798,December
John Adams,1799,December
John Adams,1800,November
Thomas Jefferson,1801,December
Thomas Jefferson,1802,December
Thomas Jefferson,1803,October
Thomas Jefferson,1804,November
Thomas Jefferson,1805,December
Thomas Jefferson,1806,December
Thomas Jefferson,1807,October
Thomas Jefferson,1808,November
James Madison,1809,November
James Madison,1810,December
James Madison,1811,November
James Madison,1812,November
James Madison,1813,December
James Madison,1814,September
James Madison,1815,December
James Madison,1816,December
James Monroe,1817,December
James Monroe,1818,November
James Monroe,1819,December
James Monroe,1820,November
James Monroe,1821,December
James Monroe,1822,December
James Monroe,1823,December
James Monroe,1824,December
John Quincy Adams,1825,December
John Quincy Adams,1826,December
John Quincy Adams,1827,December
John Quincy Adams,1828,December
Andrew Jackson,1829,December
Andrew Jackson,1830,December
Andrew Jackson,1831,December
Andrew Jackson,1832,December
Andrew Jackson,1833,December
Andrew Jackson,1834,December
Andrew Jackson,1835,December
Andrew Jackson,1836,December
Martin van Buren,1837,December
Martin van Buren,1838,December
Martin van Buren,1839,December
Martin van Buren,1840,December
John Tyler,1841,December
John Tyler,1842,December
John Tyler,1843,December
John Tyler,1844,December
James Polk,1845,December
James Polk,1846,December
James Polk,1847,December
James Polk,1848,December
Zachary Taylor,1849,December
Millard Fillmore,1850,December
Millard Fillmore,1851,December
Millard Fillmore,1852,December
Franklin Pierce,1853,December
Franklin Pierce,1854,December
Franklin Pierce,1855,December
Franklin Pierce,1856,December
James Buchanan,1857,December
James Buchanan,1858,December
James Buchanan,1859,December
James Buchanan,1860,December
Abraham Lincoln,1861,December
Abraham Lincoln,1862,December
Abraham Lincoln,1863,December
Abraham Lincoln,1864,December
Andrew Johnson,1865,December
Andrew Johnson,1866,December
Andrew Johnson,1867,December
Andrew Johnson,1868,December
Ulysses S. Grant,1869,December
Ulysses S. Grant,1870,December
Ulysses S. Grant,1871,December
Ulysses S. Grant,1872,December
Ulysses S. Grant,1873,December
Ulysses S. Grant,1874,December
Ulysses S. Grant,1875,December
Ulysses S. Grant,1876,December
Rutherford B. Hayes,1877,December
Rutherford B. Hayes,1878,December
Rutherford B. Hayes,1879,December
Rutherford B. Hayes,1880,December
Chester A. Arthur,1881,December
Chester A. Arthur,1882,December
Chester A. Arthur,1883,December
Chester A. Arthur,1884,December
Grover Cleveland,1885,December
Grover Cleveland,1886,December
Grover Cleveland,1887,December
Grover Cleveland,1888,December
Benjamin Harrison,1889,December
Benjamin Harrison,1890,December
Benjamin Harrison,1891,December
Benjamin Harrison,1892,December
William McKinley,1897,December
William McKinley,1898,December
William McKinley,1899,December
William McKinley,1900,December
Theodore Roosevelt,1901,December
Theodore Roosevelt,1902,December
Theodore Roosevelt,1903,December
Theodore Roosevelt,1904,December
Theodore Roosevelt,1905,December
Theodore Roosevelt,1906,December
Theodore Roosevelt,1907,December
Theodore Roosevelt,1908,December
William H. Taft,1909,December
William H. Taft,1910,December
William H. Taft,1911,December
William H. Taft,1912,December
Woodrow Wilson,1913,December
Woodrow Wilson,1914,December
Woodrow Wilson,1915,December
Woodrow Wilson,1916,December
Woodrow Wilson,1917,December
Woodrow Wilson,1918,December
Woodrow Wilson,1919,December
Woodrow Wilson,1920,December
Warren Harding,1921,December
Warren Harding,1922,December
Calvin Coolidge,1923,December
Calvin Coolidge,1924,December
Calvin Coolidge,1925,December
Calvin Coolidge,1926,December
Calvin Coolidge,1927,December
Calvin Coolidge,1928,December
Herbert Hoover,1929,December
Herbert Hoover,1930,December
Herbert Hoover,1931,December
Herbert Hoover,1932,December
Franklin D. Roosevelt,1934,January
Franklin D. Roosevelt,1935,January
Franklin D. Roosevelt,1936,January
Franklin D. Roosevelt,1937,January
Franklin D. Roosevelt,1938,January
Franklin D. Roosevelt,1939,January
Franklin D. Roosevelt,1940,January
Franklin D. Roosevelt,1941,January
Franklin D. Roosevelt,1942,January
Franklin D. Roosevelt,1943,January
Franklin D. Roosevelt,1944,January
Franklin D. Roosevelt,1945,January
Harry S. Truman,1946,January
Harry S. Truman,1947,January
Harry S. Truman,1948,January
Harry S. Truman,1949,January
Harry S. Truman,1950,January
Harry S. Truman,1951,January
Harry S. Truman,1952,January
Harry S. Truman,1953,January
Dwight D. Eisenhower,1953,February
Dwight D. Eisenhower,1954,January
Dwight D. Eisenhower,1955,January
Dwight D. Eisenhower,1956,January
Dwight D. Eisenhower,1957,January
Dwight D. Eisenhower,1958,January
Dwight D. Eisenhower,1959,January
Dwight D. Eisenhower,1960,January
Dwight D. Eisenhower,1961,January
John F. Kennedy,1961,January
John F. Kennedy,1962,January
John F. Kennedy,1963,January
Lyndon B. Johnson,1964,January
Lyndon B. Johnson,1965,January
Lyndon B. Johnson,1966,January
Lyndon B. Johnson,1967,January
Lyndon B. Johnson,1968,January
Lyndon B. Johnson,1969,January
Richard Nixon,1970,January
Richard Nixon,1971,January
Richard Nixon,1972,January
Richard Nixon,1973,February
Richard Nixon,1974,January
Gerald R. Ford,1975,January
Gerald R. Ford,1976,January
Gerald R. Ford,1977,January
Jimmy Carter,1978,January
Jimmy Carter,1979,January
Jimmy Carter,1980,January
Jimmy Carter,1981,January
Ronald Reagan,1982,January
Ronald Reagan,1983,January
Ronald Reagan,1984,January
Ronald Reagan,1985,February
Ronald Reagan,1986,February
Ronald Reagan,1987,January
Ronald Reagan,1988,January
George H.W. Bush,1990,January
George H.W. Bush,1991,January
George H.W. Bush,1992,January
William J. Clinton,1994,January
William J. Clinton,1995,January
William J. Clinton,1996,January
William J. Clinton,1997,February
William J. Clinton,1998,January
William J. Clinton,1999,January
William J. Clinton,2000,January
George W. Bush,2001,February
George W. Bush,2001,September
George W. Bush,2002,January
George W. Bush,2003,January
George W. Bush,2004,January
George W. Bush,2005,February
George W. Bush,2006,January
George W. Bush,2007,January
George W. Bush,2008,January
Barack Obama,2009,February
Barack Obama,2010,January
Barack Obama,2011,January
Barack Obama,2012,January
Barack Obama,2013,February
Barack Obama,2014,January
Barack Obama,2015,January
Barack Obama,2016,January
